Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G9L0034,93,Samples,Run2,Guyana,Guyana,0.666666666666667
G9L0107,396,Samples,Run2,Guyana,Guyana,0.645833333333333
G9L0108,394,Samples,Run2,Guyana,Guyana,0.338541666666667
G9L0111,388,Samples,Run2,Guyana,Guyana,0.25
G9L0115,389,Samples,Run2,Guyana,Guyana,0.348958333333333
G9L0116,390,Samples,Run2,Guyana,Guyana,0.015625
G9L0117,391,Samples,Run2,Guyana,Guyana,0.598958333333333
G9L0118,393,Samples,Run2,Guyana,Guyana,0.3125
G9L0120,397,Samples,Run2,Guyana,Guyana,0.697916666666667
G9L0122,398,Samples,Run2,Guyana,Guyana,0.317708333333333
G9L0124,385,Samples,Run2,Guyana,Guyana,0.213541666666667
G9L0127,387,Samples,Run2,Guyana,Guyana,0.78125
G9L0140,395,Samples,Run2,Guyana,Guyana,0.567708333333333
HRP0301,381,Samples,Run2,Venezuela,Venezuela,0.270833333333333
HRP0302,382,Samples,Run2,Venezuela,Venezuela,0.90625
HRP0304,383,Samples,Run2,Venezuela,Venezuela,0.03125
